a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,y_true
0.66,0.98,0.55,0.7,0.98,0.68,1.0,1.0,0.57,0.92,0.33,0.62,0.16,0.31,0.0,0.0,0
0.0,0.76,0.44,0.84,1.0,1.0,0.81,0.8,0.64,0.6,0.42,0.4,0.28,0.2,0.08,0.0,1
0.22,0.76,0.54,1.0,0.62,0.58,0.39,0.2,0.0,0.0,0.13,0.24,0.57,0.27,1.0,0.23,2
0.62,0.77,0.76,1.0,0.95,0.83,0.56,0.58,0.95,0.52,1.0,0.21,0.55,0.02,0.0,0.0,3
0.2,1.0,0.04,0.86,0.0,0.66,0.02,0.46,0.37,0.29,1.0,0.38,0.72,0.2,0.7,0.0,4
1.0,0.93,0.66,1.0,0.27,0.93,0.0,0.65,0.31,0.55,0.66,0.4,0.47,0.1,0.07,0.0,5
1.0,1.0,0.63,0.81,0.33,0.6,0.11,0.4,0.0,0.16,0.33,0.0,0.83,0.12,0.65,0.32,6
0.0,0.66,0.09,0.89,0.55,1.0,1.0,0.92,0.79,0.68,0.5,0.46,0.3,0.22,0.47,0.0,7
0.12,0.14,0.56,0.48,1.0,0.84,0.53,1.0,0.32,0.65,0.8,0.3,0.62,0.0,0.0,0.17,8
0.57,1.0,0.0,0.83,0.48,0.72,1.0,0.93,0.89,0.74,0.67,0.47,0.48,0.21,0.56,0.0,9
0.75,0.93,0.46,0.87,0.1,0.49,0.0,0.08,0.58,0.0,1.0,0.31,0.66,0.66,0.22,1.0,0
0.0,0.53,0.29,0.81,0.49,1.0,0.44,0.66,0.4,0.31,0.25,0.0,0.54,0.05,1.0,0.06,1
0.0,0.87,0.22,1.0,0.48,0.97,0.62,0.78,0.64,0.55,0.64,0.32,0.76,0.11,1.0,0.0,2
0.47,0.8,0.71,1.0,1.0,0.89,0.38,0.72,0.44,0.48,0.91,0.23,0.45,0.0,0.0,0.1,3
0.21,1.0,0.13,0.7,0.0,0.38,0.06,0.17,0.73,0.2,1.0,0.28,0.62,0.32,0.56,0.0,4
1.0,0.93,0.72,1.0,0.3,0.96,0.0,0.71,0.22,0.64,0.59,0.52,0.5,0.18,0.17,0.0,5
0.25,0.75,0.85,1.0,0.49,0.72,0.18,0.4,0.0,0.07,0.51,0.0,1.0,0.28,0.49,0.29,6
0.0,0.91,0.36,1.0,0.58,0.64,0.42,0.17,0.23,0.0,0.22,0.37,0.61,0.42,1.0,0.47,7
0.41,0.94,0.22,0.69,0.9,0.42,1.0,0.03,0.2,0.0,0.0,0.37,0.47,0.73,0.4,1.0,8
0.54,0.71,0.92,0.76,0.69,1.0,0.65,0.77,1.0,0.55,0.83,0.23,0.43,0.07,0.0,0.0,9
0.0,1.0,0.54,0.93,0.57,0.77,0.57,0.61,0.61,0.46,0.61,0.3,0.68,0.14,1.0,0.0,1
0.0,0.68,0.08,1.0,0.33,0.9,0.37,0.5,0.25,0.11,0.45,0.0,0.72,0.06,1.0,0.13,2
0.54,1.0,0.96,0.93,0.81,0.72,0.77,0.54,1.0,0.3,0.83,0.07,0.41,0.0,0.0,0.08,3
0.63,1.0,0.4,0.73,0.7,0.63,1.0,0.77,0.79,0.74,0.55,0.48,0.29,0.23,0.0,0.0,4
0.44,0.85,0.93,1.0,1.0,0.92,0.45,0.81,0.51,0.68,0.93,0.36,0.5,0.0,0.0,0.17,5
0.55,1.0,0.2,0.69,0.03,0.36,0.04,0.03,0.72,0.0,1.0,0.31,0.68,0.57,0.0,0.45,6
0.0,0.93,0.32,0.99,0.81,1.0,1.0,0.92,0.84,0.69,0.7,0.46,0.6,0.23,0.59,0.0,7
0.37,0.71,0.79,0.71,0.49,1.0,0.0,0.45,0.25,0.36,0.66,0.0,1.0,0.51,0.1,0.26,8
0.84,0.85,0.37,1.0,0.0,0.72,0.58,0.65,1.0,0.93,0.82,0.66,0.65,0.33,0.61,0.0,9
0.0,0.51,0.25,0.74,0.49,1.0,0.49,0.81,0.52,0.54,0.56,0.28,0.68,0.02,1.0,0.0,1
0.0,0.85,0.43,1.0,1.0,0.95,0.85,0.74,0.44,0.57,0.33,0.37,0.5,0.16,0.09,0.0,3
0.81,1.0,0.35,0.78,0.0,0.47,0.69,0.52,1.0,0.66,0.72,0.91,0.62,0.44,0.6,0.0,4
0.44,0.85,0.93,1.0,1.0,0.92,0.45,0.81,0.51,0.68,0.93,0.36,0.5,0.0,0.0,0.17,5
0.37,0.67,0.84,1.0,0.51,0.8,0.24,0.41,0.32,0.0,1.0,0.04,0.69,0.28,0.0,0.13,6
0.0,0.91,0.36,1.0,0.58,0.64,0.42,0.17,0.23,0.0,0.22,0.37,0.61,0.42,1.0,0.47,7
0.27,0.5,0.79,0.68,1.0,1.0,0.46,0.85,0.42,0.42,0.51,0.01,0.0,0.0,0.35,0.33,8
0.39,0.91,0.81,1.0,0.7,0.59,0.25,0.81,0.82,0.85,1.0,0.37,0.57,0.0,0.0,0.24,9
0.39,0.59,0.74,0.78,1.0,1.0,0.76,0.77,0.62,0.51,0.57,0.24,0.38,0.0,0.0,0.02,1
0.0,0.81,0.2,1.0,0.64,1.0,1.0,0.85,0.72,0.6,0.35,0.42,0.46,0.21,0.79,0.0,3
0.59,1.0,0.24,0.9,0.0,0.58,0.97,0.49,1.0,0.78,0.82,0.78,0.65,0.38,0.53,0.0,4
0.68,0.82,1.0,1.0,0.99,0.91,0.68,0.75,0.95,0.48,0.8,0.21,0.41,0.07,0.0,0.0,5
0.16,1.0,0.0,0.57,0.55,0.55,0.44,0.0,0.12,0.17,0.06,0.77,0.45,0.98,1.0,1.0,6
0.0,0.96,0.27,1.0,0.73,0.99,1.0,0.83,0.85,0.6,0.6,0.4,0.33,0.2,0.08,0.0,7
0.02,0.91,0.0,0.56,0.28,0.21,0.43,0.0,0.39,0.33,0.76,0.65,1.0,1.0,0.37,0.96,8
0.0,1.0,0.13,0.72,0.87,0.78,0.58,0.97,0.49,0.8,1.0,0.58,0.7,0.29,0.47,0.0,9
0.0,0.76,0.44,0.84,1.0,1.0,0.81,0.8,0.64,0.6,0.42,0.4,0.28,0.2,0.08,0.0,1
0.48,0.86,0.92,1.0,1.0,0.79,0.58,0.62,0.8,0.48,0.75,0.17,0.33,0.0,0.0,0.15,3
0.9,1.0,0.43,0.79,0.0,0.56,0.51,0.58,1.0,0.69,0.97,0.61,0.79,0.28,0.6,0.0,4
0.18,0.95,0.14,0.65,0.77,0.57,1.0,0.13,0.49,0.0,0.12,0.43,0.0,0.88,0.62,1.0,5
0.16,1.0,0.0,0.57,0.55,0.55,0.44,0.0,0.12,0.17,0.06,0.77,0.45,0.98,1.0,1.0,6
0.0,0.74,0.13,1.0,0.55,1.0,1.0,0.98,0.79,0.8,0.59,0.55,0.45,0.28,0.42,0.0,7
0.73,1.0,0.13,0.64,0.66,0.49,1.0,0.93,0.43,0.7,0.0,0.28,0.17,0.0,0.29,0.34,8
0.72,0.71,0.73,1.0,0.29,0.87,0.66,0.73,1.0,0.54,0.92,0.16,0.48,0.0,0.0,0.09,9
0.0,0.8,0.35,0.84,0.84,1.0,1.0,0.89,0.82,0.67,0.63,0.44,0.41,0.22,0.22,0.0,1
0.0,0.85,0.43,1.0,1.0,0.95,0.85,0.74,0.44,0.57,0.33,0.37,0.5,0.16,0.09,0.0,3
0.9,1.0,0.43,0.79,0.0,0.56,0.51,0.58,1.0,0.69,0.97,0.61,0.79,0.28,0.6,0.0,4
0.21,0.96,0.13,0.55,0.63,0.35,0.43,0.0,0.07,0.23,0.0,0.62,0.37,0.94,1.0,1.0,5
0.35,0.97,0.68,1.0,1.0,0.69,0.75,0.34,0.44,0.0,0.91,0.15,0.75,0.34,0.0,0.33,7
0.61,0.96,0.0,0.83,0.61,0.66,1.0,0.3,0.49,0.0,0.05,0.3,0.39,0.68,0.42,1.0,8
0.75,1.0,0.78,0.82,0.87,0.97,0.57,0.84,1.0,0.64,0.91,0.33,0.53,0.1,0.0,0.0,9
0.0,0.59,0.46,0.76,0.91,1.0,0.82,0.66,0.71,0.34,0.65,0.0,0.33,0.08,1.0,0.1,1
0.66,0.89,0.93,1.0,0.8,0.69,0.68,0.48,1.0,0.23,0.8,0.0,0.4,0.01,0.0,0.06,3
0.41,0.9,0.62,1.0,0.29,0.74,0.02,0.47,0.0,0.22,0.64,0.33,1.0,0.28,0.88,0.0,4
0.16,0.94,0.0,0.6,0.53,0.5,0.47,0.0,0.17,0.11,0.13,0.7,0.46,1.0,1.0,0.96,5
0.1,0.99,0.36,0.98,1.0,1.0,0.91,0.68,0.58,0.34,0.24,0.0,0.0,0.03,0.36,0.22,7
0.25,0.8,0.75,1.0,0.92,0.69,0.72,0.35,0.52,0.0,1.0,0.18,0.61,0.48,0.0,0.65,8
0.86,0.61,0.28,0.48,0.0,0.75,0.36,1.0,0.91,0.89,1.0,0.57,0.81,0.26,0.44,0.0,9
0.0,0.82,0.38,1.0,0.62,0.95,0.31,0.75,0.23,0.57,0.23,0.37,0.46,0.18,1.0,0.0,1
0.0,0.66,0.03,0.93,0.52,1.0,1.0,0.91,0.84,0.65,0.45,0.46,0.27,0.21,0.65,0.0,3
0.81,0.82,0.59,1.0,0.0,0.64,0.71,0.46,1.0,0.6,0.74,0.93,0.64,0.46,0.55,0.0,4
0.17,1.0,0.18,0.55,0.64,0.42,0.4,0.0,0.12,0.27,0.0,0.75,0.45,0.95,1.0,0.99,5
0.0,0.94,0.44,1.0,0.84,0.82,1.0,0.47,0.93,0.1,0.9,0.0,0.88,0.23,0.41,0.26,7
0.0,0.33,0.66,0.6,1.0,1.0,0.48,0.78,0.84,0.37,0.52,0.0,0.3,0.32,0.85,0.68,8
0.86,0.61,0.28,0.48,0.0,0.75,0.36,1.0,0.91,0.89,1.0,0.57,0.81,0.26,0.44,0.0,9
0.33,0.65,0.81,0.88,1.0,1.0,0.88,0.7,0.74,0.41,0.52,0.13,0.0,0.0,0.81,0.01,1
0.46,0.95,0.0,0.94,0.18,1.0,0.94,0.92,0.59,0.61,0.04,0.32,0.49,0.07,1.0,0.0,2
0.0,0.89,0.1,1.0,0.46,0.82,0.11,0.58,0.32,0.5,0.94,0.43,1.0,0.18,0.52,0.0,3
0.51,0.82,1.0,1.0,0.54,0.76,0.0,0.54,0.08,0.32,0.84,0.45,0.49,0.25,0.27,0.0,4
0.16,0.94,0.0,0.6,0.53,0.5,0.47,0.0,0.17,0.11,0.13,0.7,0.46,1.0,1.0,0.96,5
0.01,0.92,0.71,1.0,1.0,0.72,0.66,0.35,0.27,0.0,0.76,0.28,0.72,0.52,0.0,0.56,7
0.61,1.0,0.0,0.84,0.51,0.6,1.0,0.33,0.72,0.0,0.16,0.17,0.41,0.53,0.87,0.84,8
0.76,0.93,0.24,1.0,0.0,0.72,0.58,0.73,0.74,0.74,1.0,0.42,0.92,0.12,0.37,0.0,9
0.33,0.63,0.69,0.82,1.0,1.0,0.78,0.78,0.71,0.54,0.69,0.29,0.57,0.06,0.0,0.0,1
0.29,0.97,0.59,1.0,0.46,0.72,0.14,0.58,0.0,0.43,0.32,0.27,0.64,0.09,1.0,0.0,2
0.0,0.44,0.11,0.72,0.48,0.93,0.98,1.0,1.0,0.74,0.7,0.5,0.64,0.27,0.82,0.0,3
0.0,0.81,0.15,1.0,0.2,0.76,0.19,0.52,0.24,0.28,0.71,0.21,0.88,0.23,1.0,0.0,4
0.14,0.94,0.04,0.63,0.43,0.36,0.36,0.0,0.1,0.27,0.0,0.72,0.47,0.92,1.0,1.0,5
0.0,0.92,0.33,0.99,0.84,1.0,1.0,0.92,0.67,0.71,0.45,0.47,0.3,0.21,0.27,0.0,7
0.19,0.7,0.0,0.86,0.46,1.0,0.94,0.92,1.0,0.68,0.83,0.44,0.59,0.22,0.41,0.0,9
0.0,0.65,0.25,0.79,0.55,1.0,0.62,0.92,0.62,0.68,0.62,0.44,0.78,0.22,1.0,0.0,1
0.32,0.72,0.57,0.93,1.0,1.0,0.87,0.78,0.62,0.56,0.61,0.3,0.44,0.07,0.0,0.0,3
0.16,0.96,0.0,0.59,0.34,0.22,1.0,0.3,0.74,0.77,0.49,1.0,0.46,0.5,0.4,0.0,4
0.08,0.95,0.08,0.58,0.61,0.47,0.54,0.0,0.2,0.21,0.0,0.68,0.37,1.0,1.0,1.0,5
0.0,0.91,0.07,0.98,0.47,1.0,0.85,0.94,1.0,0.72,0.85,0.47,0.66,0.24,0.52,0.0,7
0.26,0.9,0.75,0.74,0.7,1.0,0.0,0.85,0.83,0.8,1.0,0.52,0.61,0.2,0.09,0.0,9
0.25,0.76,0.0,0.47,0.2,0.0,0.83,0.22,1.0,0.69,0.49,1.0,0.03,0.65,0.13,0.17,0
0.0,0.57,0.17,0.77,0.73,0.97,1.0,1.0,0.73,0.75,0.57,0.5,0.43,0.25,0.43,0.0,1
0.0,0.89,0.1,1.0,0.46,0.82,0.11,0.58,0.32,0.5,0.94,0.43,1.0,0.18,0.52,0.0,3
0.09,1.0,0.0,0.8,0.37,0.67,1.0,0.72,1.0,0.85,0.77,0.57,0.53,0.28,0.36,0.0,4
0.08,0.95,0.08,0.58,0.61,0.47,0.54,0.0,0.2,0.21,0.0,0.68,0.37,1.0,1.0,1.0,5
0.07,0.54,0.0,0.89,0.71,1.0,1.0,0.83,0.71,0.45,0.45,0.06,0.32,0.0,0.67,0.21,7
0.19,0.7,0.0,0.86,0.46,1.0,0.94,0.92,1.0,0.68,0.83,0.44,0.59,0.22,0.41,0.0,9
0.74,1.0,0.02,0.49,0.29,0.0,1.0,0.54,0.61,0.95,0.0,0.39,0.75,0.77,0.06,0.21,0
0.0,0.84,0.46,0.86,0.91,1.0,1.0,0.94,0.85,0.7,0.72,0.45,0.61,0.2,0.62,0.0,1
0.0,0.65,0.02,0.94,0.58,1.0,0.98,0.88,0.72,0.59,1.0,0.28,0.69,0.05,0.24,0.0,3
0.16,0.96,0.0,0.59,0.34,0.22,1.0,0.3,0.74,0.77,0.49,1.0,0.46,0.5,0.4,0.0,4
0.77,0.95,0.2,0.81,0.43,0.59,0.76,0.19,0.15,0.0,0.0,0.36,0.38,0.85,1.0,1.0,5
0.12,0.93,0.0,0.97,0.57,1.0,1.0,0.88,0.94,0.66,0.75,0.43,0.57,0.22,0.4,0.0,7
0.57,1.0,0.0,0.83,0.48,0.72,1.0,0.93,0.89,0.74,0.67,0.47,0.48,0.21,0.56,0.0,9
0.39,0.94,0.0,0.31,0.42,0.0,1.0,0.43,0.95,1.0,0.3,0.69,0.49,0.53,0.3,0.28,0
0.36,0.63,0.0,0.67,0.53,0.84,1.0,1.0,0.83,0.74,0.66,0.47,0.53,0.21,0.51,0.0,1
1.0,0.94,0.41,0.92,0.94,1.0,0.89,0.64,0.63,0.49,1.0,0.21,0.52,0.0,0.0,0.1,3
0.59,1.0,0.0,0.79,0.31,0.64,1.0,0.75,0.93,0.76,0.63,0.51,0.37,0.26,0.11,0.0,4
0.27,1.0,0.08,0.56,0.57,0.41,0.2,0.0,0.0,0.24,0.18,0.85,0.48,0.97,1.0,0.94,5
0.08,0.7,0.0,0.96,0.46,1.0,1.0,0.98,0.96,0.75,0.69,0.5,0.48,0.24,0.58,0.0,7
0.73,0.92,0.0,1.0,0.23,0.63,0.77,0.31,0.5,0.0,0.07,0.3,0.52,0.66,1.0,0.98,8
0.0,1.0,0.13,0.72,0.87,0.78,0.58,0.97,0.49,0.8,1.0,0.58,0.7,0.29,0.47,0.0,9
0.39,0.94,0.0,0.31,0.42,0.0,1.0,0.43,0.95,1.0,0.3,0.69,0.49,0.53,0.3,0.28,0
0.0,0.82,0.38,1.0,0.62,0.95,0.31,0.75,0.23,0.57,0.23,0.37,0.46,0.18,1.0,0.0,1
0.0,0.66,0.03,0.93,0.52,1.0,1.0,0.91,0.84,0.65,0.45,0.46,0.27,0.21,0.65,0.0,3
0.51,0.82,1.0,1.0,0.54,0.76,0.0,0.54,0.08,0.32,0.84,0.45,0.49,0.25,0.27,0.0,4
0.22,1.0,0.01,0.52,0.63,0.67,0.62,0.21,0.0,0.0,0.04,0.59,0.28,0.96,1.0,0.97,5
0.08,0.7,0.0,0.96,0.46,1.0,1.0,0.98,0.96,0.75,0.69,0.5,0.48,0.24,0.58,0.0,7
0.68,0.89,0.17,1.0,0.28,0.63,0.72,0.28,0.36,0.0,0.0,0.32,0.47,0.64,1.0,0.95,8
0.77,1.0,0.37,0.88,0.61,0.68,1.0,0.85,0.84,0.69,0.72,0.41,0.39,0.18,0.0,0.0,9
0.36,0.81,0.69,0.9,1.0,1.0,0.8,0.8,0.6,0.6,0.41,0.4,0.2,0.19,0.0,0.0,1
0.0,0.89,0.28,1.0,0.64,0.85,0.43,0.61,0.09,0.44,0.23,0.21,0.62,0.11,1.0,0.0,2
0.07,0.9,0.55,1.0,0.93,0.82,0.79,0.54,0.41,0.31,0.0,0.1,0.4,0.0,1.0,0.0,3
0.09,1.0,0.0,0.75,0.78,0.72,1.0,0.92,0.74,0.93,0.56,0.62,0.38,0.31,0.21,0.0,4
0.37,0.87,1.0,1.0,0.56,0.91,0.19,0.67,0.22,0.54,0.79,0.42,0.59,0.16,0.0,0.0,5
0.71,0.82,1.0,1.0,0.44,0.69,0.0,0.35,0.08,0.0,0.9,0.12,0.75,0.32,0.05,0.11,6
0.0,0.66,0.09,0.89,0.55,1.0,1.0,0.92,0.79,0.68,0.5,0.46,0.3,0.22,0.47,0.0,7
0.78,1.0,0.23,0.83,0.59,0.64,1.0,0.83,0.76,0.74,0.77,0.46,0.55,0.2,0.0,0.0,9
0.36,0.63,0.0,0.67,0.53,0.84,1.0,1.0,0.83,0.74,0.66,0.47,0.53,0.21,0.51,0.0,1
0.0,0.83,0.43,1.0,0.89,0.85,0.75,0.57,0.42,0.32,0.0,0.11,0.35,0.0,1.0,0.0,2
0.07,0.9,0.55,1.0,0.93,0.82,0.79,0.54,0.41,0.31,0.0,0.1,0.4,0.0,1.0,0.0,3
0.63,1.0,0.4,0.73,0.7,0.63,1.0,0.77,0.79,0.74,0.55,0.48,0.29,0.23,0.0,0.0,4
0.24,0.8,0.59,0.95,1.0,1.0,0.63,0.92,0.25,0.78,0.21,0.47,0.36,0.16,0.0,0.0,5
0.82,0.85,1.0,1.0,0.49,0.68,0.0,0.36,0.2,0.0,0.94,0.03,0.53,0.27,0.35,0.08,6
0.03,0.7,0.0,0.96,0.47,1.0,1.0,0.97,0.74,0.73,0.51,0.49,0.4,0.23,0.62,0.0,7
0.93,0.77,0.49,1.0,0.19,0.73,0.72,0.68,0.9,0.63,1.0,0.2,0.58,0.0,0.0,0.1,9
0.66,0.98,0.55,0.7,0.98,0.68,1.0,1.0,0.57,0.92,0.33,0.62,0.16,0.31,0.0,0.0,0
0.0,0.53,0.31,0.81,0.51,1.0,0.5,0.62,0.46,0.25,0.15,0.0,0.59,0.01,1.0,0.03,1
0.19,0.88,0.53,1.0,0.92,0.84,0.71,0.53,0.36,0.29,0.0,0.05,0.48,0.01,1.0,0.0,2
0.59,0.89,0.42,0.23,0.29,0.42,0.25,1.0,1.0,0.82,0.75,0.46,0.98,0.0,0.0,0.03,3
0.09,1.0,0.0,0.75,0.78,0.72,1.0,0.92,0.74,0.93,0.56,0.62,0.38,0.31,0.21,0.0,4
0.22,1.0,0.01,0.52,0.63,0.67,0.62,0.21,0.0,0.0,0.04,0.59,0.28,0.96,1.0,0.97,5
0.03,0.7,0.0,0.96,0.47,1.0,1.0,0.97,0.74,0.73,0.51,0.49,0.4,0.23,0.62,0.0,7
0.73,1.0,0.13,0.64,0.66,0.49,1.0,0.93,0.43,0.7,0.0,0.28,0.17,0.0,0.29,0.34,8
0.46,0.45,0.0,0.58,0.2,0.83,0.69,1.0,1.0,0.81,0.91,0.53,0.69,0.27,0.48,0.0,9
0.0,0.59,0.16,0.73,0.77,0.95,1.0,1.0,0.7,0.75,0.45,0.5,0.25,0.25,0.34,0.0,1
0.0,0.83,0.43,1.0,0.89,0.85,0.75,0.57,0.42,0.32,0.0,0.11,0.35,0.0,1.0,0.0,2
0.59,0.89,0.42,0.23,0.29,0.42,0.25,1.0,1.0,0.82,0.75,0.46,0.98,0.0,0.0,0.03,3
0.84,1.0,0.51,0.69,0.1,0.33,0.0,0.14,0.83,0.11,1.0,0.47,0.76,0.42,0.71,0.0,4
0.1,0.89,0.32,0.98,0.36,1.0,0.0,0.68,0.31,0.49,1.0,0.29,0.6,0.0,0.01,0.15,5
0.0,0.89,0.41,0.94,0.87,1.0,1.0,0.98,0.8,0.75,0.68,0.5,0.59,0.25,0.6,0.0,7
0.46,0.45,0.0,0.58,0.2,0.83,0.69,1.0,1.0,0.81,0.91,0.53,0.69,0.27,0.48,0.0,9
0.0,0.84,0.46,0.86,0.91,1.0,1.0,0.94,0.85,0.7,0.72,0.45,0.61,0.2,0.62,0.0,1
0.19,0.88,0.53,1.0,0.92,0.84,0.71,0.53,0.36,0.29,0.0,0.05,0.48,0.01,1.0,0.0,2
0.0,0.9,0.36,1.0,0.53,0.76,0.15,0.51,0.67,0.46,1.0,0.2,0.61,0.0,0.1,0.07,3
0.6,0.91,0.0,0.85,0.19,0.37,0.82,0.27,0.31,0.0,0.03,0.3,0.4,0.74,1.0,1.0,5
0.23,0.95,0.0,0.97,0.52,1.0,1.0,0.93,0.98,0.68,0.74,0.45,0.47,0.23,0.31,0.0,7
0.83,0.75,0.48,0.45,0.17,0.67,0.56,1.0,1.0,0.79,0.92,0.36,0.58,0.0,0.0,0.0,9
0.0,0.65,0.38,0.79,0.62,1.0,0.72,0.86,0.77,0.65,0.79,0.43,0.83,0.21,1.0,0.0,1
0.14,0.88,0.62,1.0,0.97,0.86,0.7,0.62,0.34,0.42,0.0,0.2,0.45,0.06,1.0,0.0,2
0.0,0.8,0.43,0.93,0.91,1.0,0.96,0.8,0.75,0.57,1.0,0.36,0.9,0.14,0.48,0.0,3
0.6,0.91,0.0,0.85,0.19,0.37,0.82,0.27,0.31,0.0,0.03,0.3,0.4,0.74,1.0,1.0,5
0.0,0.89,0.41,0.94,0.87,1.0,1.0,0.98,0.8,0.75,0.68,0.5,0.59,0.25,0.6,0.0,7
0.79,0.89,0.57,1.0,0.65,0.89,1.0,0.91,0.83,0.62,0.59,0.36,0.32,0.13,0.0,0.0,9
0.0,0.67,0.45,0.8,1.0,1.0,0.5,0.85,0.32,0.64,0.23,0.42,0.18,0.21,0.14,0.0,1
0.14,0.88,0.62,1.0,0.97,0.86,0.7,0.62,0.34,0.42,0.0,0.2,0.45,0.06,1.0,0.0,2
0.32,0.95,1.0,1.0,0.55,0.95,0.0,0.71,0.07,0.45,0.73,0.33,0.78,0.07,0.11,0.0,5
0.18,0.75,0.0,0.74,0.35,0.97,1.0,1.0,0.88,0.79,0.72,0.49,0.52,0.18,0.4,0.0,7
0.87,0.86,0.45,1.0,0.26,0.71,0.71,0.6,1.0,0.57,0.9,0.17,0.49,0.0,0.0,0.05,9
0.0,0.67,0.45,0.8,1.0,1.0,0.5,0.85,0.32,0.64,0.23,0.42,0.18,0.21,0.14,0.0,1
0.08,0.91,0.63,1.0,1.0,0.82,0.79,0.55,0.42,0.31,0.0,0.11,0.37,0.01,1.0,0.0,2
1.0,0.93,0.68,1.0,0.4,0.91,0.56,0.74,0.88,0.63,0.63,0.39,0.31,0.2,0.0,0.0,5
0.07,0.54,0.0,0.89,0.71,1.0,1.0,0.83,0.71,0.45,0.45,0.06,0.32,0.0,0.67,0.21,7
0.62,0.57,1.0,0.85,0.52,1.0,0.0,0.76,0.39,0.64,0.79,0.57,0.52,0.24,0.05,0.0,9
0.48,0.74,0.88,0.95,1.0,1.0,0.78,0.75,0.66,0.49,0.64,0.23,0.32,0.0,0.0,0.01,1
0.0,0.93,0.52,1.0,0.94,0.87,0.8,0.63,0.53,0.42,0.23,0.2,0.42,0.03,1.0,0.0,2
0.16,0.76,0.71,0.94,1.0,1.0,0.43,0.83,0.45,0.52,0.93,0.28,0.66,0.02,0.0,0.0,5
0.16,0.78,0.0,1.0,0.76,0.92,1.0,0.78,0.77,0.35,0.74,0.0,0.98,0.32,0.27,0.38,7
0.8,0.86,0.46,1.0,0.0,0.78,0.42,0.57,1.0,0.75,0.98,0.62,0.88,0.29,0.75,0.0,9
0.27,0.69,0.56,1.0,0.64,0.87,0.58,0.47,0.37,0.12,0.0,0.0,0.5,0.02,1.0,0.05,1
0.0,0.93,0.52,1.0,0.94,0.87,0.8,0.63,0.53,0.42,0.23,0.2,0.42,0.03,1.0,0.0,2
0.0,0.87,0.52,1.0,0.96,0.82,0.45,0.58,0.39,0.42,1.0,0.28,0.73,0.04,0.08,0.0,3
0.66,0.94,1.0,1.0,0.81,0.96,0.5,0.81,0.47,0.5,0.54,0.19,0.26,0.0,0.0,0.12,5
0.25,1.0,0.71,0.93,0.77,0.57,0.59,0.2,0.3,0.0,0.0,0.28,0.5,0.25,1.0,0.14,7
0.0,0.39,0.62,0.67,0.86,1.0,0.06,0.87,0.38,0.54,1.0,0.26,0.72,0.0,0.01,0.17,8
0.75,1.0,0.38,0.82,0.74,0.82,0.8,0.71,0.96,0.46,1.0,0.2,0.54,0.04,0.0,0.0,9
0.0,0.6,0.31,0.7,0.64,0.88,1.0,1.0,0.9,0.75,0.79,0.5,0.73,0.25,0.7,0.0,1
0.23,0.7,0.51,1.0,0.74,0.82,0.51,0.46,0.2,0.15,0.0,0.04,0.5,0.0,1.0,0.02,2
0.0,0.87,0.52,1.0,0.96,0.82,0.45,0.58,0.39,0.42,1.0,0.28,0.73,0.04,0.08,0.0,3
0.17,1.0,0.08,0.53,0.61,0.47,0.42,0.0,0.03,0.17,0.0,0.8,0.44,0.96,1.0,0.94,5
0.18,0.75,0.0,0.74,0.35,0.97,1.0,1.0,0.88,0.79,0.72,0.49,0.52,0.18,0.4,0.0,7
0.71,0.63,0.88,1.0,0.14,0.97,0.0,0.58,0.76,0.6,1.0,0.77,0.6,0.39,0.23,0.0,9
1.0,1.0,0.76,0.87,0.64,0.72,0.5,0.58,0.38,0.44,0.24,0.29,0.12,0.14,0.0,0.0,1
0.23,0.67,0.43,1.0,0.73,0.85,0.68,0.49,0.41,0.17,0.0,0.0,0.49,0.04,1.0,0.06,2
0.0,0.44,0.11,0.72,0.48,0.93,0.98,1.0,1.0,0.74,0.7,0.5,0.64,0.27,0.82,0.0,3
0.62,0.97,0.85,1.0,0.42,0.77,0.49,0.67,1.0,0.57,0.94,0.23,0.5,0.0,0.0,0.09,5
0.01,0.92,0.71,1.0,1.0,0.72,0.66,0.35,0.27,0.0,0.76,0.28,0.72,0.52,0.0,0.56,7
0.0,0.69,0.52,0.6,1.0,0.77,0.74,1.0,0.23,0.89,0.47,0.69,0.55,0.36,0.51,0.0,9
0.0,0.41,0.23,0.65,0.63,0.87,1.0,1.0,0.9,0.75,0.73,0.51,0.67,0.25,0.67,0.0,1
0.32,0.71,0.55,1.0,0.72,0.77,0.56,0.44,0.32,0.12,0.0,0.04,0.43,0.13,1.0,0.0,2
0.49,0.78,0.69,1.0,1.0,0.95,0.76,0.72,0.61,0.46,0.59,0.18,0.33,0.0,0.0,0.12,3
0.17,1.0,0.08,0.53,0.61,0.47,0.42,0.0,0.03,0.17,0.0,0.8,0.44,0.96,1.0,0.94,5
0.34,0.77,0.77,1.0,1.0,0.74,0.75,0.43,0.4,0.16,0.0,0.0,0.0,0.24,0.79,0.26,7
0.0,0.66,0.48,1.0,1.0,0.83,0.69,0.41,0.37,0.0,0.81,0.26,0.76,0.69,0.08,0.93,8
0.44,0.68,0.79,1.0,0.26,0.93,0.59,0.67,1.0,0.71,0.95,0.25,0.56,0.0,0.0,0.12,9
0.04,0.25,0.68,0.64,0.33,0.97,0.0,0.36,0.38,0.0,1.0,0.43,0.96,1.0,0.22,0.85,0
